gene-LOC111982896	XP_023901772.1
gene-LOC112020936	XP_023909304.1
gene-LOC112021105	XP_023909536.1
gene-LOC112021105	XP_023909470.1
gene-LOC112022566	XP_023910982.1
gene-LOC112023300	XP_023911719.1
gene-LOC112023399	XP_023911807.1
gene-LOC112023495	XP_023911892.1
gene-LOC112023669	XP_023912089.1
gene-LOC112022455	
gene-LOC112021380	
gene-LOC112023756	XP_023912181.1
gene-LOC112023850	XP_023912273.1
gene-LOC112024035	XP_023912475.1
gene-LOC112021016	XP_023909381.1
gene-LOC112023216	XP_023911635.1
gene-LOC112024125	XP_023912567.1
gene-LOC112026066	
gene-LOC112021270	XP_023909642.1
gene-LOC112021898	XP_023910488.1
gene-LOC112021898	XP_023910413.1
gene-LOC112021898	XP_023910340.1
gene-LOC112021898	XP_023910266.1
gene-LOC112024310	XP_023912744.1
gene-LOC112026125	
gene-LOC112024406	XP_023912839.1
gene-LOC112024506	
gene-LOC112026003	
gene-LOC112026181	
gene-LOC112022312	XP_023910755.1
gene-LOC112022312	XP_023910676.1
gene-LOC112021724	XP_023910089.1
gene-LOC112021724	XP_023910157.1
gene-LOC112023151	
gene-LOC112024770	XP_023913206.1
gene-LOC112024853	XP_023913301.1
gene-LOC112021638	XP_023909995.1
gene-LOC112025901	
gene-LOC112024945	
gene-LOC112023044	XP_023911465.1
gene-LOC112025031	XP_023913485.1
gene-LOC112022954	XP_023911373.1
gene-LOC112025397	XP_023914239.1
gene-LOC112025397	XP_023914294.1
gene-LOC112025397	XP_023913866.1
gene-LOC112025397	XP_023914044.1
gene-LOC112025397	XP_023914172.1
gene-LOC112025397	XP_023913930.1
gene-LOC112025397	XP_023914114.1
gene-LOC112025397	XP_023913985.1
gene-LOC112025213	XP_023913675.1
gene-LOC112022737	XP_023911156.1
gene-LOC112022737	XP_023911219.1
gene-LOC112022737	XP_023911283.1
gene-LOC112025310	XP_023913768.1
gene-LOC112022212	XP_023910584.1
gene-LOC112021453	XP_023909818.1
gene-LOC112021453	XP_023909888.1
gene-LOC112022651	XP_023911070.1
gene-LOC112026621	XP_023915105.1
gene-LOC112026704	XP_023915183.1
gene-LOC112026812	XP_023915286.1
gene-LOC112026922	XP_023915393.1
gene-LOC112027644	XP_023916091.1
gene-LOC112027644	XP_023916283.1
gene-LOC112027644	XP_023916163.1
gene-LOC112027644	XP_023916339.1
gene-LOC112027644	XP_023916222.1
gene-LOC112027644	XP_023916395.1
gene-LOC112027560	XP_023916010.1
gene-LOC112028047	XP_023916605.1
gene-LOC112026531	XP_023915014.1
gene-LOC112026439	
gene-LOC112026350	XP_023914832.1
gene-LOC112028902	
gene-LOC112028796	XP_023917290.1
gene-LOC112027096	XP_023915569.1
gene-LOC112028424	XP_023916913.1
gene-LOC112026250	XP_023914738.1
gene-LOC112028990	XP_023917468.1
gene-LOC112029086	XP_023917580.1
gene-LOC112029086	XP_023917651.1
gene-LOC112027462	XP_023915922.1
gene-LOC112028516	XP_023917013.1
gene-LOC112028615	XP_023917108.1
gene-LOC112028349	XP_023916830.1
gene-LOC112028262	XP_023916734.1
gene-LOC112028714	XP_023917194.1
gene-LOC112033190	XP_023921762.1
gene-LOC112029538	XP_023918024.1
gene-LOC112032455	XP_023921009.1
gene-LOC112032455	XP_023921072.1
gene-LOC112032600	XP_023921166.1
gene-LOC112032600	XP_023921235.1
gene-LOC112029623	XP_023918110.1
gene-LOC112033466	XP_023922037.1
gene-LOC112029439	XP_023917922.1
gene-LOC112029712	XP_023918201.1
gene-TRNAT-AGU	
gene-LOC112029814	XP_023918289.1
gene-LOC112030174	XP_023918662.1
gene-LOC112030453	XP_023918938.1
gene-LOC112033284	XP_023921859.1
gene-LOC112029350	
gene-LOC112032177	XP_023920735.1
gene-LOC112032267	
gene-LOC112030557	
gene-LOC112030659	XP_023919124.1
gene-LOC112030751	
gene-LOC112033707	
gene-LOC112030836	XP_023919299.1
gene-LOC112029265	XP_023917752.1
gene-LOC112030924	XP_023919394.1
gene-LOC112032770	XP_023921334.1
gene-LOC112033369	XP_023921940.1
gene-LOC112031022	XP_023919495.1
gene-LOC112031109	
gene-LOC112033646	
gene-LOC112033557	XP_023922134.1
gene-LOC112031197	XP_023919684.1
gene-LOC112032861	XP_023921420.1
gene-LOC112032358	XP_023920921.1
gene-LOC112032024	XP_023920528.1
gene-LOC112032101	XP_023920637.1
gene-LOC112031502	
gene-LOC112031589	XP_023920081.1
gene-LOC112031836	XP_023920341.1
gene-LOC112031929	XP_023920431.1
gene-LOC112033912	XP_023922678.1
gene-LOC112033912	XP_023922487.1
gene-LOC112033912	XP_023922613.1
gene-LOC112033912	XP_023922548.1
gene-LOC112033912	XP_023922738.1
gene-LOC112034233	XP_023922838.1
gene-LOC112033828	XP_023922395.1
gene-LOC112034315	XP_023922927.1
gene-LOC112034401	XP_023923026.1
gene-LOC112034983	XP_023923606.1
gene-LOC112034776	
gene-LOC112035065	XP_023923707.1
gene-LOC112035161	XP_023923793.1
gene-LOC112035797	
gene-LOC112035987	
gene-LOC112035887	XP_023924514.1
gene-LOC112035708	XP_023924337.1
gene-LOC112035261	XP_023923888.1
gene-LOC112034849	XP_023923450.1
gene-LOC112034849	XP_023923518.1
gene-LOC112034499	XP_023923173.1
gene-LOC112034499	XP_023923115.1
gene-LOC112034499	XP_023923301.1
gene-LOC112034499	XP_023923241.1
gene-LOC112035350	XP_023923976.1
gene-LOC112035526	XP_023924147.1
gene-LOC112035614	XP_023924249.1
gene-LOC111985115	XP_023872560.1
gene-LOC111982929	XP_023870343.1
gene-LOC111984523	XP_023871956.1
gene-LOC112036411	XP_023925011.1
gene-LOC111983284	XP_023870748.1
gene-LOC112037170	XP_023925779.1
gene-LOC112036482	XP_023925180.1
gene-LOC112036482	XP_023925117.1
gene-LOC112037770	XP_023926391.1
gene-LOC112037084	
gene-LOC111985802	
gene-LOC112038140	XP_023926746.1
gene-LOC112038226	XP_023926824.1
gene-LOC112036800	XP_023925427.1
gene-LOC111983612	XP_023871078.1
gene-LOC111984619	XP_023872039.1
gene-LOC112037587	
gene-LOC112038414	XP_023927022.1
gene-LOC112038506	
gene-LOC112038591	XP_023927219.1
gene-LOC112038679	
gene-LOC112038763	XP_023927409.1
gene-LOC112036323	
gene-LOC111984349	XP_023871844.1
gene-LOC111984349	XP_023871777.1
gene-LOC111985272	XP_023872722.1
gene-LOC111984068	XP_023871488.1
gene-LOC111984982	XP_023872462.1
gene-LOC111984982	XP_023872396.1
gene-LOC112037402	XP_023926116.1
gene-LOC112037402	XP_023926017.1
gene-LOC112038848	XP_023927487.1
gene-LOC111983203	XP_023870666.1
gene-LOC112038946	
gene-LOC112039028	XP_023927664.1
gene-LOC112040488	XP_023929179.1
gene-LOC112039109	
gene-LOC111984712	XP_023872133.1
gene-TRNAI-AAU	
gene-LOC111984800	XP_023872216.1
gene-LOC112040270	
gene-LOC112040378	XP_023929073.1
gene-LOC112039201	XP_023927852.1
gene-LOC112040179	XP_023928872.1
gene-LOC112036232	
gene-LOC112036908	
gene-LOC112039455	XP_023928130.1
gene-LOC111985205	
gene-LOC111985471	XP_023872913.1
gene-LOC111983969	XP_023871411.1
gene-LOC112039639	XP_023928307.1
gene-LOC111985749	
gene-LOC111985656	XP_023873114.1
gene-LOC112036142	XP_023924745.1
gene-LOC112040828	XP_023929616.1
gene-LOC112040828	XP_023929558.1
gene-LOC112040828	XP_023929774.1
gene-LOC112040828	XP_023929668.1
gene-LOC112040828	XP_023929721.1
gene-LOC111984881	XP_023872307.1
gene-LOC112039895	
gene-LOC112037256	XP_023925867.1
gene-LOC112037256	XP_023925927.1
gene-LOC112041165	XP_023929872.1
gene-LOC111985562	XP_023873015.1
gene-LOC112040583	XP_023929330.1
gene-LOC112040583	XP_023929265.1
gene-LOC112040583	XP_023929448.1
gene-LOC112040583	XP_023929389.1
gene-LOC111983391	XP_023870857.1
gene-LOC111983863	XP_023871317.1
gene-LOC112036981	XP_023925606.1
gene-LOC111983007	XP_023870570.1
gene-LOC111983007	XP_023870510.1
gene-LOC111983007	XP_023870449.1
gene-LOC112036049	XP_023924670.1
gene-LOC111984261	XP_023871683.1
gene-LOC111984163	XP_023871596.1
gene-LOC111983716	XP_023871171.1
gene-LOC111985380	XP_023872822.1
gene-LOC111983502	XP_023870968.1
gene-LOC112040090	XP_023928792.1
gene-LOC112036636	XP_023925319.1
gene-LOC112036636	XP_023925270.1
gene-LOC111986679	XP_023874157.1
gene-LOC111988018	XP_023875575.1
gene-LOC111988491	
gene-LOC111988582	
gene-LOC111986542	XP_023873996.1
gene-LOC111986542	XP_023874067.1
gene-LOC111986462	XP_023873891.1
gene-LOC111988676	XP_023876257.1
gene-LOC111987273	XP_023874772.1
gene-LOC111986172	XP_023873589.1
gene-LOC111989942	
gene-LOC111989867	
gene-LOC111986255	XP_023873803.1
gene-LOC111986255	XP_023873744.1
gene-LOC111986255	XP_023873684.1
gene-LOC111988110	XP_023875675.1
gene-LOC111986080	
gene-LOC111987798	XP_023875343.1
gene-LOC111987798	XP_023875402.1
gene-LOC111987798	XP_023875472.1
gene-LOC111989759	XP_023877354.1
gene-LOC111985925	XP_023873423.1
gene-LOC111985925	XP_023873364.1
gene-LOC111987720	XP_023875248.1
gene-LOC111989118	XP_023876704.1
gene-LOC111988196	XP_023875781.1
gene-LOC111988196	XP_023875842.1
gene-LOC111987361	XP_023874871.1
gene-LOC111989209	XP_023876798.1
gene-LOC111988342	XP_023875991.1
gene-LOC111988342	XP_023875928.1
gene-LOC111989399	XP_023876980.1
gene-LOC111986766	XP_023874432.1
gene-LOC111986766	XP_023874685.1
gene-LOC111986766	XP_023874379.1
gene-LOC111986766	XP_023874313.1
gene-LOC111986766	XP_023874248.1
gene-LOC111986766	XP_023874558.1
gene-LOC111986766	XP_023874495.1
gene-LOC111986766	XP_023874622.1
gene-LOC111987533	XP_023875050.1
gene-LOC111987448	XP_023874967.1
gene-LOC111989481	XP_023877065.1
gene-LOC111989567	XP_023877162.1
gene-LOC111987627	XP_023875157.1
gene-LOC111989662	XP_023877247.1
gene-LOC111990677	XP_023878265.1
gene-LOC111991653	XP_023879246.1
gene-LOC111991738	
gene-LOC111991816	XP_023879421.1
gene-LOC111996617	XP_023884405.1
gene-LOC111990971	XP_023878606.1
gene-LOC111990971	XP_023878545.1
gene-LOC111990971	XP_023878671.1
gene-LOC111991376	XP_023878957.1
gene-LOC111991195	XP_023878779.1
gene-LOC111991195	XP_023878850.1
gene-LOC111995720	XP_023883449.1
gene-LOC111995720	XP_023883582.1
gene-LOC111995720	XP_023883514.1
gene-LOC111995720	XP_023883654.1
gene-LOC111990293	XP_023877877.1
gene-LOC111990293	XP_023877924.1
gene-LOC111991904	XP_023879509.1
gene-LOC111990447	XP_023878011.1
gene-LOC111996188	XP_023884004.1
gene-LOC111996188	XP_023883942.1
gene-LOC111996188	XP_023884122.1
gene-LOC111996188	XP_023884057.1
gene-LOC111996007	XP_023883745.1
gene-LOC111992094	XP_023879707.1
gene-LOC111992172	XP_023879810.1
gene-LOC111996102	XP_023883842.1
gene-LOC111990777	XP_023878363.1
gene-LOC111996447	XP_023884232.1
gene-LOC111994909	XP_023882597.1
gene-LOC111994642	XP_023882388.1
gene-LOC111994642	XP_023882331.1
gene-LOC111996536	XP_023884317.1
gene-LOC111994460	XP_023882144.1
gene-LOC111993946	XP_023881653.1
gene-LOC111993946	XP_023881589.1
gene-LOC111992244	XP_023879910.1
gene-LOC111996707	
gene-LOC111992338	XP_023880002.1
gene-LOC111992436	XP_023880096.1
gene-LOC111990208	
gene-LOC111992617	XP_023880281.1
gene-LOC111992701	XP_023880358.1
gene-LOC111992794	XP_023880450.1
gene-LOC111995484	XP_023883198.1
gene-LOC111995484	XP_023883257.1
gene-LOC111992898	
gene-LOC111994227	XP_023882014.1
gene-LOC111994227	XP_023881947.1
gene-LOC111994227	XP_023881898.1
gene-LOC111992999	XP_023880648.1
gene-LOC111990118	XP_023877702.1
gene-LOC111990014	XP_023877602.1
gene-LOC111995014	XP_023882983.1
gene-LOC111995014	XP_023882908.1
gene-LOC111995014	XP_023882779.1
gene-LOC111995014	XP_023882840.1
gene-LOC111995014	XP_023882709.1
gene-LOC111990884	XP_023878447.1
gene-LOC111995373	XP_023883091.1
gene-LOC111994546	XP_023882236.1
gene-LOC111994801	XP_023882484.1
gene-LOC111995638	XP_023883352.1
gene-LOC111994085	XP_023881740.1
gene-LOC111994085	XP_023881796.1
gene-LOC111996772	
gene-LOC111991485	XP_023879057.1
gene-LOC111993278	XP_023880919.1
gene-LOC111991571	XP_023879155.1
gene-LOC111993373	
gene-LOC111993465	XP_023881104.1
gene-LOC111993574	XP_023881214.1
gene-LOC111993671	XP_023881292.1
gene-LOC111993862	XP_023881485.1
gene-LOC111997820	
gene-LOC111997883	XP_023885811.1
gene-LOC112002186	XP_023890138.1
gene-LOC112002186	XP_023890203.1
gene-LOC112003012	XP_023890982.1
gene-LOC112002441	XP_023890396.1
gene-LOC112002100	XP_023890053.1
gene-LOC111996898	XP_023884802.1
gene-LOC111996898	XP_023884737.1
gene-LOC111998811	
gene-LOC111998389	XP_023886404.1
gene-LOC111998389	XP_023886277.1
gene-LOC111998389	XP_023886467.1
gene-LOC111998389	XP_023886347.1
gene-LOC111998389	XP_023886533.1
gene-LOC111998297	XP_023886194.1
gene-LOC112001578	XP_023889609.1
gene-LOC112001578	XP_023889546.1
gene-LOC112001578	XP_023889733.1
gene-LOC112001578	XP_023889673.1
gene-LOC112002731	XP_023890685.1
gene-LOC112000373	XP_023888288.1
gene-LOC112001498	XP_023889466.1
gene-LOC111998071	XP_023886037.1
gene-LOC111998071	XP_023885984.1
gene-LOC111998071	XP_023886108.1
gene-LOC112000848	XP_023888945.1
gene-LOC112000848	XP_023888885.1
gene-LOC112000848	XP_023888816.1
gene-LOC111999088	XP_023887006.1
gene-LOC112003599	
gene-LOC112003541	
gene-LOC112003662	
gene-LOC112003840	
gene-LOC111997443	XP_023885327.1
gene-LOC112003779	
gene-LOC112003720	
gene-LOC111999179	
gene-LOC112003896	
gene-LOC111997212	XP_023885073.1
gene-LOC112001997	XP_023889973.1
gene-LOC112003189	XP_023891175.1
gene-LOC111997048	XP_023884894.1
gene-LOC112001938	
gene-LOC112001079	XP_023889041.1
gene-LOC111999263	XP_023887189.1
gene-LOC112001851	XP_023889813.1
gene-LOC112002836	XP_023890791.1
gene-LOC112001170	XP_023889150.1
gene-LOC111999453	XP_023887381.1
gene-LOC111999543	
gene-LOC112003458	XP_023891459.1
gene-LOC112000763	XP_023888724.1
gene-LOC111997618	XP_023885681.1
gene-LOC111997618	XP_023885532.1
gene-LOC111997618	XP_023885600.1
gene-LOC112002550	XP_023890506.1
gene-LOC112002550	XP_023890581.1
gene-LOC112000659	XP_023888619.1
gene-LOC111999840	XP_023887753.1
gene-LOC112000447	XP_023888386.1
gene-LOC112000447	XP_023888454.1
gene-LOC112000447	XP_023888518.1
gene-LOC111997530	XP_023885424.1
gene-LOC111996825	XP_023884643.1
gene-LOC112002336	XP_023890287.1
gene-LOC112002922	XP_023890884.1
gene-LOC111999930	XP_023887834.1
gene-LOC111997293	XP_023885235.1
gene-LOC111997293	XP_023885169.1
gene-LOC111997127	XP_023884988.1
gene-LOC112000023	
gene-LOC111997975	XP_023885896.1
gene-LOC112000207	XP_023888103.1
gene-LOC112003372	XP_023891355.1
gene-LOC112003281	XP_023891263.1
gene-LOC112000293	
gene-LOC112001392	XP_023889362.1
gene-LOC112001281	XP_023889257.1
gene-LOC112007885	XP_023896042.1
gene-LOC112008603	XP_023896736.1
gene-LOC112003952	XP_023891978.1
gene-LOC112004049	XP_023892069.1
gene-LOC112006102	XP_023894199.1
gene-LOC112004143	XP_023892172.1
gene-LOC112008365	XP_023896497.1
gene-LOC112005567	XP_023893652.1
gene-LOC112005567	XP_023893714.1
gene-LOC112005926	XP_023894025.1
gene-LOC112005820	XP_023893921.1
gene-LOC112005714	XP_023893817.1
gene-LOC112006550	XP_023894891.1
gene-LOC112006550	XP_023894705.1
gene-LOC112006550	XP_023894825.1
gene-LOC112006550	XP_023894634.1
gene-LOC112006550	XP_023894765.1
gene-LOC112004326	XP_023892351.1
gene-LOC112006015	XP_023894119.1
gene-LOC112004411	
gene-LOC112004494	XP_023892543.1
gene-LOC112006198	XP_023894292.1
gene-LOC112006466	XP_023894543.1
gene-LOC112006378	XP_023894449.1
gene-LOC112006294	
gene-LOC112008693	XP_023896880.1
gene-LOC112008693	XP_023896953.1
gene-LOC112008693	XP_023896820.1
gene-LOC112008457	
gene-LOC112007774	XP_023895937.1
gene-LOC112004674	XP_023892705.1
gene-LOC112004764	XP_023892793.1
gene-LOC112006878	XP_023894980.1
gene-LOC112004947	XP_023892986.1
gene-LOC112007050	XP_023895282.1
gene-LOC112007050	XP_023895351.1
gene-LOC112007050	XP_023895410.1
gene-LOC112007050	XP_023895468.1
gene-LOC112007050	XP_023895164.1
gene-LOC112007050	XP_023895214.1
gene-LOC112007448	XP_023895591.1
gene-LOC112006955	XP_023895074.1
gene-LOC112007532	XP_023895761.1
gene-LOC112007532	XP_023895688.1
gene-LOC112005037	XP_023893084.1
gene-LOC112005132	XP_023893181.1
gene-LOC112007675	XP_023895841.1
gene-LOC112005220	XP_023893270.1
gene-LOC112005317	XP_023893365.1
gene-LOC112008518	XP_023896642.1
gene-LOC112005407	XP_023893451.1
gene-LOC112007997	XP_023896153.1
gene-LOC112007997	XP_023896405.1
gene-LOC112007997	XP_023896227.1
gene-LOC112007997	XP_023896346.1
gene-LOC112007997	XP_023896284.1
gene-LOC112005491	XP_023893547.1
gene-LOC112008973	XP_023897129.1
gene-LOC112009161	XP_023897305.1
gene-LOC112009255	
gene-LOC112009680	XP_023897805.1
gene-LOC112009347	XP_023897479.1
gene-LOC112009433	XP_023897707.1
gene-LOC112009433	XP_023897642.1
gene-LOC112009433	XP_023897568.1
gene-LOC112010035	XP_023898181.1
gene-LOC112009942	XP_023898100.1
gene-LOC112010560	XP_023898700.1
gene-LOC112010734	XP_023898886.1
gene-LOC112010820	
gene-LOC112012933	XP_023901104.1
gene-LOC112012933	XP_023901166.1
gene-LOC112012598	XP_023900774.1
gene-LOC112010908	XP_023899082.1
gene-LOC112010140	XP_023898355.1
gene-LOC112010140	XP_023898549.1
gene-LOC112010140	XP_023898285.1
gene-LOC112010140	XP_023898487.1
gene-LOC112010140	XP_023898614.1
gene-LOC112010140	XP_023898426.1
gene-LOC112009773	
gene-LOC112011002	XP_023899178.1
gene-LOC112011079	XP_023899275.1
gene-LOC112011287	XP_023899460.1
gene-LOC112009851	XP_023898002.1
gene-LOC112012682	XP_023900870.1
gene-LOC112011493	XP_023899666.1
gene-LOC112011783	XP_023899919.1
gene-LOC112011875	XP_023900011.1
gene-LOC112011966	
gene-LOC112012055	XP_023900211.1
gene-LOC112012135	
gene-LOC112012232	XP_023900410.1
gene-LOC112012321	
gene-LOC112012771	XP_023900951.1
gene-LOC112012771	XP_023901017.1
gene-LOC112012405	
gene-LOC112012508	XP_023900681.1
gene-LOC112013328	XP_023901526.1
gene-LOC112013429	
gene-LOC112013504	XP_023901697.1
gene-LOC112013228	XP_023901418.1
gene-LOC112015740	XP_023904038.1
gene-LOC112015740	XP_023903973.1
gene-LOC112015542	XP_023903885.1
gene-LOC112015542	XP_023903753.1
gene-LOC112015542	XP_023903821.1
gene-LOC112013682	XP_023901874.1
gene-LOC112015886	XP_023904143.1
gene-LOC112015034	XP_023903510.1
gene-LOC112015034	XP_023903382.1
gene-LOC112015034	XP_023903254.1
gene-LOC112015034	XP_023903575.1
gene-LOC112015034	XP_023903320.1
gene-LOC112015034	XP_023903192.1
gene-LOC112015034	XP_023903449.1
gene-LOC112015969	XP_023904238.1
gene-LOC112016043	XP_023904336.1
gene-LOC112013792	
gene-LOC112013893	
gene-LOC112016419	
gene-LOC112013986	XP_023902166.1
gene-LOC112014177	XP_023902356.1
gene-LOC112015455	XP_023903656.1
gene-LOC112013074	XP_023901257.1
gene-LOC112013074	XP_023901322.1
gene-LOC112016332	XP_023904681.1
gene-LOC112014276	XP_023902463.1
gene-LOC112016132	XP_023904443.1
gene-LOC112016132	XP_023904571.1
gene-LOC112016132	XP_023904510.1
gene-LOC112014493	XP_023902681.1
gene-LOC112014599	XP_023902794.1
gene-LOC112014927	
gene-LOC112013611	
gene-LOC112017017	XP_023905257.1
gene-LOC112016999	XP_023905246.1
gene-LOC112016999	XP_023905238.1
gene-LOC112016854	XP_023905120.1
gene-LOC112016966	XP_023905204.1
gene-LOC112017117	XP_023905355.1
gene-LOC112016988	XP_023905227.1
gene-LOC112017142	XP_023905375.1
gene-LOC112016669	XP_023904975.1
gene-LOC112017189	
gene-LOC112017198	
gene-LOC112017205	XP_023905445.1
gene-LOC112017212	
gene-LOC112017107	
gene-LOC112017045	XP_023905286.1
gene-LOC112017028	XP_023905268.1
gene-LOC112017028	XP_023905275.1
gene-LOC112017153	XP_023905384.1
gene-LOC112017170	XP_023905409.1
gene-LOC112017170	XP_023905404.1
gene-LOC112017170	XP_023905396.1
gene-LOC112017170	XP_023905420.1
gene-LOC112017161	XP_023905390.1
gene-LOC112017130	XP_023905368.1
gene-LOC112017220	XP_023905467.1
gene-LOC112016762	XP_023905042.1
gene-LOC112017123	XP_023905361.1
gene-LOC112016576	XP_023904914.1
gene-LOC112016977	XP_023905215.1
gene-LOC112016944	XP_023905193.1
gene-LOC112016944	XP_023905178.1
gene-LOC112016944	XP_023905185.1
gene-LOC112017082	XP_023905315.1
gene-LOC112017072	XP_023905308.1
gene-LOC112017090	XP_023905334.1
gene-LOC112017090	XP_023905327.1
gene-LOC112017057	XP_023905299.1
gene-LOC112017057	XP_023905294.1
gene-LOC112017241	XP_023905482.1
gene-LOC112017251	
gene-LOC112017266	XP_023905504.1
gene-LOC112017292	XP_023905533.1
gene-LOC112017301	
gene-LOC112017312	XP_023905551.1
gene-LOC112017325	
gene-LOC112017274	XP_023905512.1
gene-LOC112017257	XP_023905495.1
gene-LOC112017355	XP_023905581.1
gene-LOC112017334	XP_023905564.1
gene-LOC112017282	XP_023905524.1
gene-LOC112017344	XP_023905572.1
gene-LOC112017672	XP_023905897.1
gene-LOC112017701	XP_023905923.1
gene-LOC112017683	XP_023905907.1
gene-LOC112017683	XP_023905912.1
gene-LOC112017576	XP_023905808.1
gene-LOC112017380	XP_023905604.1
gene-LOC112017639	XP_023905869.1
gene-LOC112017510	XP_023905736.1
gene-LOC112017390	XP_023905612.1
gene-LOC112017614	XP_023905849.1
gene-LOC112017614	XP_023905842.1
gene-LOC112017567	XP_023905798.1
gene-LOC112017485	XP_023905706.1
gene-LOC112017546	XP_023905782.1
gene-LOC112017475	XP_023905695.1
gene-LOC112017558	XP_023905788.1
gene-LOC112017365	XP_023905590.1
gene-LOC112017707	XP_023905929.1
gene-LOC112017408	XP_023905627.1
gene-LOC112017664	XP_023905889.1
gene-LOC112017716	
gene-LOC112017514	XP_023905747.1
gene-LOC112017427	
gene-LOC112017433	
gene-LOC112017536	XP_023905770.1
gene-LOC112017525	XP_023905757.1
gene-LOC112017494	XP_023905718.1
gene-LOC112017494	XP_023905725.1
gene-LOC112017441	XP_023905660.1
gene-LOC112017459	XP_023905679.1
gene-LOC112017649	XP_023905878.1
gene-LOC112017649	XP_023905882.1
gene-LOC112017374	
gene-LOC112017631	XP_023905857.1
gene-LOC112017466	XP_023905687.1
gene-LOC112017587	XP_023905833.1
gene-LOC112017587	XP_023905829.1
gene-LOC112017587	XP_023905821.1
gene-LOC112017587	XP_023905817.1
gene-LOC112017739	XP_023905964.1
gene-LOC112017758	
gene-LOC112017768	
